,pred_type,ID,ds,numbox,weight,bulk
321,zhongzhuang,50,2015-11-26,4279,37687.97,211.352996
322,zhongzhuang,50,2015-11-27,2806,25390.61,153.463698
323,zhongzhuang,50,2015-11-28,2821,24337.71,161.186697
324,zhongzhuang,50,2015-11-29,5622,49303.02,318.234995
325,zhongzhuang,50,2015-11-30,6301,58209.392,309.103197
326,zhongzhuang,50,2015-12-1,1683,15285.28,112.1781
327,zhongzhuang,50,2015-12-2,3093,20645.457,123.517098
328,zhongzhuang,50,2015-12-3,4676,41033.5,241.570496
329,zhongzhuang,50,2015-12-4,2845,18493.902,151.883597
330,zhongzhuang,50,2015-12-5,4507,37309.5,259.070997
331,zhongzhuang,50,2015-12-6,5238,43465,265.324096
332,zhongzhuang,50,2015-12-7,6500,58158.07,330.697397
333,zhongzhuang,50,2015-12-8,4948,45211.19,262.6308
334,zhongzhuang,50,2015-12-9,5319,42635.332,270.386998
335,zhongzhuang,50,2015-12-10,4347,45020.5,266.047297
336,zhongzhuang,50,2015-12-11,4090,37211.3,270.094898
337,zhongzhuang,50,2015-12-12,6237,49604.77,314.477197
338,zhongzhuang,50,2015-12-13,5560,54886.12,386.172698
339,zhongzhuang,50,2015-12-14,5372,46761.757,224.8313
340,zhongzhuang,50,2015-12-15,2926,26009.3,210.0094
341,zhongzhuang,50,2015-12-16,2158,18281.89,149.636696
342,zhongzhuang,50,2015-12-17,4532,35446.622,291.830697
343,zhongzhuang,50,2015-12-18,5354,44783.007,295.856302
344,zhongzhuang,50,2015-12-19,3540,27669.922,153.559896
345,zhongzhuang,50,2015-12-20,5061,44353.76,243.781299
346,zhongzhuang,50,2015-12-21,7360,62052.646,418.663065
347,zhongzhuang,50,2015-12-22,4347,28461.34,182.525098
348,zhongzhuang,50,2015-12-23,5708,56748.838,347.4398
349,zhongzhuang,50,2015-12-24,702,3074.8,36.546499
350,zhongzhuang,50,2015-12-25,758,8504.22,42.1249
351,zhongzhuang,50,2015-12-26,5471,39551.661,242.446998
352,zhongzhuang,50,2015-12-27,4810,47126.5,201.256899
353,zhongzhuang,50,2015-12-28,6895,61610.722,344.150695
354,zhongzhuang,50,2015-12-29,7209,66100.079,270.823998
355,zhongzhuang,50,2015-12-30,4687,36071.262,248.986794
356,zhongzhuang,50,2015-12-31,6396,61920.76,322.690995
357,zhongzhuang,50,2016-1-1,5298,54976.62,288.142694
358,zhongzhuang,50,2016-1-2,5327,43594.204,291.168996
359,zhongzhuang,50,2016-1-3,4558,37699.702,241.792397
360,zhongzhuang,50,2016-1-4,7493,45713.84,303.674796
361,zhongzhuang,50,2016-1-5,2570,19307.732,108.7466
362,zhongzhuang,50,2016-1-6,10328,76913.665,523.172397
363,zhongzhuang,50,2016-1-7,2120,15601.844,101.227698
364,zhongzhuang,50,2016-1-8,7484,56155.65,272.600998
365,zhongzhuang,50,2016-1-9,5733,50180.026,333.685697
366,zhongzhuang,50,2016-1-10,6678,49487.501,323.241814
367,zhongzhuang,50,2016-1-11,4835,33771.644,219.103795
368,zhongzhuang,50,2016-1-12,4796,34639.2,149.446398
369,zhongzhuang,50,2016-1-13,6626,46319.296,278.686833
370,zhongzhuang,50,2016-1-14,8608,69676.3,486.028899
371,zhongzhuang,50,2016-1-15,9278,71172.925,424.605098
372,zhongzhuang,50,2016-1-16,3715,31453.43,173.232697
373,zhongzhuang,50,2016-1-17,12369,93583.541,523.522896
374,zhongzhuang,50,2016-1-18,2551,20885.991,176.412891
375,zhongzhuang,50,2016-1-19,9271,72947.799,372.844098
376,zhongzhuang,50,2016-1-20,7663,57307.75,413.77796
377,zhongzhuang,50,2016-1-21,7612,65444.293,311.209223
378,zhongzhuang,50,2016-1-22,2228,20179.451,130.8309
379,zhongzhuang,50,2016-1-23,6828,60330.93,280.635797
380,zhongzhuang,50,2016-1-24,5020,51130.36,291.853719
381,zhongzhuang,50,2016-1-25,8380,64277.405,352.848091
382,zhongzhuang,50,2016-1-26,5377,44235.03,200.74334
383,zhongzhuang,50,2016-1-27,13174,67684.316,404.270844
384,zhongzhuang,50,2016-1-28,3190,28032.419,202.068493
385,zhongzhuang,50,2016-1-29,12804,69955.26,341.179071
386,zhongzhuang,50,2016-1-30,4348,26379.739,235.230299
387,zhongzhuang,50,2016-1-31,7679,60336.32,318.087599
388,zhongzhuang,50,2016-2-1,6068,53464.94,273.600717
389,zhongzhuang,50,2016-2-2,9515,65157.492,317.332699
390,zhongzhuang,50,2016-2-3,5468,38900.569,241.362195
391,zhongzhuang,50,2016-2-4,5213,44007.69,280.702559
392,zhongzhuang,50,2016-2-5,550,5379.6,25.238099
393,zhongzhuang,50,2016-2-6,1790,6364.7,38.0178
394,zhongzhuang,50,2016-2-15,21,84,1.02
395,zhongzhuang,50,2016-2-16,188,1615.12,5.6821
396,zhongzhuang,50,2016-2-17,898,6290.701,68.4213
397,zhongzhuang,50,2016-2-18,1823,19039.28,81.841798
398,zhongzhuang,50,2016-2-19,2027,21645.34,104.238198
399,zhongzhuang,50,2016-2-20,3341,21814.24,151.3676
400,zhongzhuang,50,2016-2-21,6523,50155.548,252.200469
401,zhongzhuang,50,2016-2-22,6753,52196.083,359.036993
402,zhongzhuang,50,2016-2-23,3316,31394.34,164.71142
403,zhongzhuang,50,2016-2-24,3115,28223.27,123.349899
404,zhongzhuang,50,2016-2-25,3773,38027.22,225.015503
405,zhongzhuang,50,2016-2-26,4151,38726.865,248.612588
406,zhongzhuang,50,2016-2-27,4601,25223.78,187.514823
407,zhongzhuang,50,2016-2-28,5787,54185.72,305.929019
408,zhongzhuang,50,2016-2-29,2545,23816.382,158.502399
409,zhongzhuang,50,2016-3-1,5365,51734.18,255.231461
410,zhongzhuang,50,2016-3-2,3622,36665.44,186.308878
411,zhongzhuang,50,2016-3-3,3914,38160.362,169.123098
412,zhongzhuang,50,2016-3-4,3338,32792.121,209.679399
413,zhongzhuang,50,2016-3-5,5607,40279.33,274.090308
414,zhongzhuang,50,2016-3-6,7543,63862.322,319.392047
415,zhongzhuang,50,2016-3-7,5916,44259.861,329.708179
416,zhongzhuang,50,2016-3-8,3935,36766.895,209.017095
417,zhongzhuang,50,2016-3-9,3835,43012.002,194.91
418,zhongzhuang,50,2016-3-10,5012,39272.165,258.160458
419,zhongzhuang,50,2016-3-11,3999,34406.9,220.9893
420,zhongzhuang,50,2016-3-12,6551,69410.186,409.130172
421,zhongzhuang,50,2016-3-13,6097,38215.642,271.719602
422,zhongzhuang,50,2016-3-14,6402,57468.23,344.574295
423,zhongzhuang,50,2016-3-15,2422,20480.471,156.566597
424,zhongzhuang,50,2016-3-16,3119,23741.848,128.223428
425,zhongzhuang,50,2016-3-17,4155,33885.402,227.229498
426,zhongzhuang,50,2016-3-18,6141,47889.73,304.537717
427,zhongzhuang,50,2016-3-19,8675,76897.542,387.394066
428,zhongzhuang,50,2016-3-20,5350,51558.562,349.61012
429,zhongzhuang,50,2016-3-21,5990,55996.951,351.353136
430,zhongzhuang,50,2016-3-22,3497,34192.076,187.013142
431,zhongzhuang,50,2016-3-23,3642,23284.008,169.585075
432,zhongzhuang,50,2016-3-24,5475,50926.336,351.363697
433,zhongzhuang,50,2016-3-25,4673,46851.58,272.80964
434,zhongzhuang,50,2016-3-26,4165,36767.015,205.922399
435,zhongzhuang,50,2016-3-27,8530,81834.179,477.226379
436,zhongzhuang,50,2016-3-28,6750,54666.058,270.502271
437,zhongzhuang,50,2016-3-29,2888,22915.289,147.664712
438,zhongzhuang,50,2016-3-30,4224,34572.17,242.214898
439,zhongzhuang,50,2016-3-31,4084,38246.521,216.539893
440,zhongzhuang,50,2016-4-1,7912,69810.91,386.619549
441,zhongzhuang,50,2016-4-2,8420,62869.248,308.78104
442,zhongzhuang,50,2016-4-3,9826,74891.16,430.17105
443,zhongzhuang,50,2016-4-4,7175,70966.433,392.596842
444,zhongzhuang,50,2016-4-5,2748,21549.95,151.207219
445,zhongzhuang,50,2016-4-6,2588,18389.537,119.1565
