,pred_type,ID,ds,numbox,weight,bulk
216,zhongzhuang,50,2015-08-12,1270,16408.1,98.837698
217,zhongzhuang,50,2015-08-13,2979,31900.52,170.217299
218,zhongzhuang,50,2015-08-14,1749,15384.74,113.2546
219,zhongzhuang,50,2015-08-15,3745,31838.2,177.858199
220,zhongzhuang,50,2015-08-16,8339,62753.89,412.149092
221,zhongzhuang,50,2015-08-17,3327,37494.5,182.8142
222,zhongzhuang,50,2015-08-18,2300,31565.65,133.440199
223,zhongzhuang,50,2015-08-19,3119,31766.98,120.178998
224,zhongzhuang,50,2015-08-20,3479,32371.86,255.485797
225,zhongzhuang,50,2015-08-21,3939,31290.36,203.785798
226,zhongzhuang,50,2015-08-22,1304,15888.0,108.563799
227,zhongzhuang,50,2015-08-23,4784,37525.26,175.706098
228,zhongzhuang,50,2015-08-24,1468,15220.01,84.5107
229,zhongzhuang,50,2015-08-25,3838,35265.18,227.786297
230,zhongzhuang,50,2015-08-26,2039,16176.869,116.777798
231,zhongzhuang,50,2015-08-27,814,6815.1,30.3541
232,zhongzhuang,50,2015-08-28,3200,25662.8,145.103597
233,zhongzhuang,50,2015-08-29,4543,35908.16,221.100297
234,zhongzhuang,50,2015-08-30,3971,26270.72,187.596399
235,zhongzhuang,50,2015-08-31,1330,10584.5,86.0851
236,zhongzhuang,50,2015-09-01,640,7383.26,35.858199
237,zhongzhuang,50,2015-09-02,895,7162.24,64.9252
238,zhongzhuang,50,2015-09-04,3021,28790.34,194.385099
239,zhongzhuang,50,2015-09-05,1634,17009.7,94.663399
240,zhongzhuang,50,2015-09-06,2258,21112.92,138.2425
241,zhongzhuang,50,2015-09-07,1038,9962.599,38.077399
242,zhongzhuang,50,2015-09-08,1558,14117.0,78.018
243,zhongzhuang,50,2015-09-09,918,11070.95,64.715499
244,zhongzhuang,50,2015-09-10,4248,46090.29,242.016199
245,zhongzhuang,50,2015-09-11,733,7978.0,76.622799
246,zhongzhuang,50,2015-09-12,4917,46124.3,271.045697
247,zhongzhuang,50,2015-09-13,5553,49538.85,270.881297
248,zhongzhuang,50,2015-09-14,5946,64834.859,305.616596
249,zhongzhuang,50,2015-09-15,2117,18564.24,131.1871
