,pred_type,id,name,ds,numbox,weight,bulk
393,zhongzhuang,392,,2016-11,259,1892.9,25.6452
394,zhongzhuang,392,,2016-12,125,728.59,5.8332
395,zhongzhuang,392,,2017-01,135,694.59,3.591199
396,zhongzhuang,392,,2017-02,50,411.46,1.9139
397,zhongzhuang,392,,2017-03,108,807.153,8.499298
398,zhongzhuang,392,,2017-04,289,2379.43,10.6789
399,zhongzhuang,392,,2017-05,256,1973.55,11.7335
400,zhongzhuang,392,,2017-06,157,1085.815,6.999599
401,zhongzhuang,392,,2017-07,609,3142.534,20.966599
402,zhongzhuang,392,,2017-08,289,1681.722,11.846699
403,zhongzhuang,392,,2017-09,307,1201.35,7.6022
404,zhongzhuang,393,,2017-08,15,258.0,1.4679
405,zhongzhuang,396,,2016-02,381,4605.19,49.0827
406,zhongzhuang,396,,2016-03,733,7460.68,67.244698
407,zhongzhuang,396,,2016-04,1515,13640.81,127.903296
408,zhongzhuang,396,,2016-05,1271,9861.557,99.371999
409,zhongzhuang,396,,2016-06,579,4613.6,47.127698
410,zhongzhuang,396,,2016-07,1538,18111.23,210.028596
411,zhongzhuang,396,,2016-08,746,7603.72,86.119898
412,zhongzhuang,396,,2016-09,4192,12079.051,145.657897
413,zhongzhuang,396,,2016-10,1601,14118.588,164.482594
414,zhongzhuang,396,,2016-11,846,4666.91,41.984596
415,zhongzhuang,396,,2016-12,1794,14223.24,130.935094
416,zhongzhuang,396,,2017-01,407,2315.36,22.564098
417,zhongzhuang,396,,2017-02,2811,24255.78,206.571396
418,zhongzhuang,396,,2017-03,1523,10398.387,96.521697
419,zhongzhuang,396,,2017-04,1173,9163.729,80.326395
420,zhongzhuang,396,,2017-05,947,8463.118,68.607198
421,zhongzhuang,396,,2017-06,992,6641.89,61.121092
422,zhongzhuang,396,,2017-07,2639,21122.787,204.147299
423,zhongzhuang,396,,2017-08,4263,29507.08,308.817696
424,zhongzhuang,396,,2017-09,945,9083.076,71.926799
425,zhongzhuang,397,,,6,10.0,0.1202
426,zhongzhuang,397,,2016-05,112,1411.3,12.5214
427,zhongzhuang,397,,2016-06,44,414.67,2.945498
428,zhongzhuang,397,,2016-07,100,264.061,2.0249
429,zhongzhuang,397,,2016-08,212,1540.02,12.060199
430,zhongzhuang,397,,2016-09,267,4815.82,22.4824
431,zhongzhuang,397,,2016-10,43,238.4,1.487099
432,zhongzhuang,397,,2016-11,62,379.5,2.4042
433,zhongzhuang,397,,2016-12,100,790.69,4.332299
434,zhongzhuang,397,,2017-01,169,2405.8,13.696
435,zhongzhuang,397,,2017-02,111,832.5,4.9335
436,zhongzhuang,397,,2017-03,348,2746.1,18.9772
437,zhongzhuang,397,,2017-04,208,1699.335,10.920798
438,zhongzhuang,397,,2017-05,401,3980.65,23.494899
439,zhongzhuang,397,,2017-06,339,2113.64,14.5411
440,zhongzhuang,397,,2017-07,588,5906.53,31.591999
441,zhongzhuang,397,,2017-08,1902,13893.461,101.496999
442,zhongzhuang,397,,2017-09,233,2250.6,10.1971
443,zhongzhuang,423,,2015-05,505,5778.0,31.7991
444,zhongzhuang,423,,2015-06,989,7806.76,33.0889
445,zhongzhuang,423,,2015-07,136,1274.42,11.8002
446,zhongzhuang,423,,2015-08,976,7599.405,50.9904
